"","Feature_chr","Feature_start","Feature_end","Feature_gene_biotype","Feature_gene_name","PBS_2","PBS_3","PBS_4","PBS_5","FPAS_2","FPAS_3","FPAS_4","FPAS_5","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","FoldChange","baseMean_PBS","baseMean_FPAS","DE_status"
"ENSMUSG00000020661.15","chr12",3806007,3914443,"protein_coding","Dnmt3a",5302,5093,5085,4724,2795,5318,2773,2866,4009.71941190971,-0.207017461039232,0.174744264321786,-1.18468816039659,0.23614076533678,0.626422976709915,0.866326371127825,4297.27797351803,3722.1608503014,"NS"
"ENSMUSG00000037098.18","chr17",25989036,26069555,"protein_coding","Rab11fip3",3264,2968,2101,2547,2225,2787,2442,2066,2473.82923183649,0.206471809150753,0.174294593038499,1.18461396622411,0.236170112479385,0.626422976709915,1.15386289481831,2296.95013039605,2650.70833327693,"NS"
"ENSMUSG00000026365.15","chr1",140084708,140183764,"protein_coding","Cfh",1032,1691,1052,700,608,1180,331,567,819.278311467544,-0.362267145809572,0.305893179017783,-1.18429298414827,0.236297105091787,0.626520775971817,0.777941110800258,921.675351653735,716.881271281353,"NS"
"ENSMUSG00000096916.7","chr7",27984854,28014115,"protein_coding","Zfp850",18,21,43,0,135,91,0,48,46.1712028469804,2.12402937952268,1.79374158706124,1.18413343083747,0.236360248363006,NA,4.35909721805812,17.230109815798,75.1122958781629,"NS"
"ENSMUSG00000071662.4","chr19",8793127,8798577,"protein_coding","Polr2g",256,334,228,276,0,201,163,49,168.374822566698,-1.11689434442499,0.943787908712622,-1.1834166703285,0.236644053747497,NA,0.461085325240919,230.535951838384,106.213693295012,"NS"
"ENSMUSG00000071342.5","chr12",40175493,40199490,"protein_coding","Lsmem1",216,116,215,145,59,146,0,0,98.7048550014457,-1.63251753991149,1.38030535382698,-1.18272202262002,0.23691933324577,NA,0.322524902070661,149.341389426934,48.0683205759571,"NS"
"ENSMUSG00000030579.10","chr7",30413760,30417585,"protein_coding","Tyrobp",53,110,20,0,0,120,427,0,91.6640308650482,2.07503518582779,1.75457528414831,1.18264243465338,0.236950887326716,NA,4.21354690658191,35.1452584157455,148.182803314351,"NS"
"ENSMUSG00000042390.9","chr3",90293178,90363407,"protein_coding","Gatad2b",2438,2713,2444,2015,1337,2476,1812,703,1852.04703297906,-0.274076492464719,0.231777546199602,-1.18249803295738,0.237008145559732,0.627068895530396,0.82697952038321,2027.91245122574,1676.18161473238,"NS"
"ENSMUSG00000049606.16","chr5",106616739,106697287,"protein_coding","Zfp644",2915,3101,2528,2544,2073,2254,1676,1425,2197.78772619846,-0.190358754699126,0.160999898568386,-1.18235325855357,0.237065561394878,0.627068895530396,0.876387763040382,2342.54968527118,2053.02576712573,"NS"
"ENSMUSG00000001416.13","chr3",88297116,88321767,"protein_coding","Cct3",1007,1215,888,1060,860,677,705,112,758.231433366865,-0.47175425145116,0.399029675762781,-1.18225355181757,0.237105109635724,0.627068895530396,0.721087255210148,881.240989382401,635.221877351329,"NS"
"ENSMUSG00000015944.9","chr5",134099711,134144343,"protein_coding","Castor2",3928,2590,4073,2304,1596,2866,2092,1801,2525.11163779455,-0.266813477435973,0.225688219193609,-1.18222155498105,0.237117802029137,0.627068895530396,0.831153312455628,2758.05614642875,2292.16712916036,"NS"
"ENSMUSG00000029309.7","chr5",104079111,104113733,"protein_coding","Sparcl1",3269,4667,3424,3211,2813,2900,2614,979,2788.85680409453,-0.276838363470754,0.234207857047983,-1.1820199670502,0.237197778267398,0.627068895530396,0.825397879181231,3055.83108597849,2521.88252221056,"NS"
"ENSMUSG00000025533.15","chr5",130011258,130029247,"protein_coding","Asl",263,157,80,303,55,157,102,48,134.40450296246,-0.868161085892055,0.73447336905414,-1.18201846720471,0.237198373374448,NA,0.547844709532761,173.742405789081,95.0666001358387,"NS"
"ENSMUSG00000037935.16","chr11",99209047,99231017,"protein_coding","Smarce1",846,1038,584,475,523,755,180,237,526.439890425289,-0.447041126508224,0.37825776743499,-1.18184255551357,0.237268178741264,0.627068895530396,0.733545760799633,607.501466281894,445.378314568685,"NS"
"ENSMUSG00000030149.15","chr6",129610323,129623864,"protein_coding","Klrk1",45,23,15,0,0,15,110,121,46.6817241530322,2.17042420145569,1.83647595494945,1.18184188342146,0.237268445469027,NA,4.50155735528991,16.955933578994,76.4075147270703,"NS"
"ENSMUSG00000056941.17","chr2",153616933,153632781,"protein_coding","Commd7",367,344,190,315,196,222,314,545,319.119350167123,0.572424144038936,0.484351023902192,1.18183737783226,0.237270233571276,NA,1.48702009552369,256.469564178184,381.769136156062,"NS"
"ENSMUSG00000023017.10","chr15",99670368,99701130,"protein_coding","Asic1",115,165,120,36,46,138,278,140,129.917001196874,0.935786224585667,0.791909104530057,1.18168388168866,0.237331156219544,NA,1.91293284095278,89.157314624103,170.676687769645,"NS"
"ENSMUSG00000022574.7","chr15",75890956,75894481,"protein_coding","Naprt",159,74,67,68,107,287,113,67,112.722174290616,0.918881615071044,0.777604555338868,1.18168239725732,0.237331745444576,NA,1.8906490839136,78.0372253789999,147.407123202232,"NS"
"ENSMUSG00000030800.10","chr7",127925716,127930104,"protein_coding","Prss8",864,905,696,1236,1136,1472,565,607,904.296005651048,0.351483376858552,0.297445533998013,1.18167306845797,0.237335448409518,0.627068895530396,1.27587180258683,794.928702089795,1013.6633092123,"NS"
"ENSMUSG00000042541.10","chr6",6557294,6578663,"protein_coding","Sem1",623,702,733,779,368,573,528,290,543.687611590584,-0.338644291333884,0.286656090046356,-1.18136088188156,0.237459390999954,0.627068895530396,0.790784067070607,607.359070673894,480.016152507273,"NS"
"ENSMUSG00000052957.8","chr13",60174405,60177365,"protein_coding","Gas1",568,1007,553,254,729,629,496,446,562.545690476558,0.40703981299667,0.344579771761236,1.18126438739043,0.237497709959353,0.627068895530396,1.32596235140404,483.517261492768,641.574119460347,"NS"
"ENSMUSG00000053835.17","chr17",36005695,36020560,"protein_coding","H2-T24",168,398,329,237,103,281,24,119,187.01082623145,-0.785627713490738,0.665172163028789,-1.18108928358257,0.23756725664586,NA,0.580099502236276,236.772106260145,137.249546202756,"NS"
"ENSMUSG00000030095.10","chr6",91473703,91488463,"protein_coding","Tmem43",1662,1752,1300,881,1070,995,767,632,1062.53376575511,-0.278895150904847,0.23613752407259,-1.18107086961373,0.237574571032096,0.627068895530396,0.824221983813741,1164.77984923573,960.287682274494,"NS"
"ENSMUSG00000059920.9","chr16",64751751,64771161,"protein_coding","4930453N24Rik",858,762,814,526,507,669,322,323,559.194830155798,-0.342832637975285,0.290332419179865,-1.18082795901237,0.237671074733946,0.627068895530396,0.788491638918498,625.446645998275,492.943014313322,"NS"
"ENSMUSG00000022142.8","chr15",8109273,8161247,"protein_coding","Nup155",512,742,428,597,302,673,771,506,552.310149857389,0.38728497720397,0.327998357824879,1.18075279331351,0.237700942226576,0.627068895530396,1.30792967986952,478.567110586597,626.053189128181,"NS"
"ENSMUSG00000024993.15","chr19",60811585,60836227,"protein_coding","Fam45a",393,457,326,476,16,481,104,204,278.75263307406,-0.765614536475889,0.648497091754819,-1.18059825743266,0.237762356213392,NA,0.588202761904449,351.126796375741,206.378469772379,"NS"
"ENSMUSG00000001143.13","chr1",36419871,36445271,"protein_coding","Lman2l",859,1157,1052,979,638,904,311,611,767.06437743607,-0.341604041004374,0.289355793890921,-1.18056748202923,0.23777458798103,0.627068895530396,0.789163403232456,857.460151671939,676.668603200202,"NS"
"ENSMUSG00000027770.5","chr3",62468013,62507004,"protein_coding","Dhx36",1131,1090,924,559,546,949,561,126,669.153318054302,-0.453742227209519,0.384351897829371,-1.18053853713753,0.237786092612366,0.627068895530396,0.730146452212973,773.78666563034,564.519970478263,"NS"
"ENSMUSG00000041117.8","chr7",16992708,16997516,"protein_coding","Ccdc8",355,552,432,257,228,511,218,701,404.86452099693,0.527286779997833,0.446716693595426,1.18036058996124,0.237856829331653,0.627068895530396,1.44121620639986,331.524603460145,478.204438533715,"NS"
"ENSMUSG00000032122.15","chr9",37227585,37255738,"protein_coding","Slc37a2",681,611,574,302,891,134,354,857,569.141694315236,0.592836313763937,0.502356904407661,1.18010981547663,0.237956541243737,0.627093963126026,1.50820894762305,453.632872763886,684.650515866586,"NS"
"ENSMUSG00000001741.12","chr7",83642825,83745726,"protein_coding","Il16",391,875,322,211,742,564,185,384,440.59778113033,0.530589089399558,0.449699819854447,1.17987392027707,0.238050363854594,0.627103497353974,1.44451890924848,360.336413852498,520.859148408162,"NS"
"ENSMUSG00000034330.10","chr8",117498291,117635142,"protein_coding","Plcg2",344,592,81,371,230,308,605,368,358.441443549117,0.60576167894539,0.513471061907232,1.17973869198267,0.238104159988682,NA,1.52178197452572,284.167495553095,432.715391545138,"NS"
"ENSMUSG00000063480.8","chr15",82040525,82047598,"protein_coding","Snu13",123,417,316,239,255,186,742,114,297.236057332077,0.682710900959441,0.57874122658751,1.17964794902374,0.238140263905726,NA,1.60515309148752,228.165995640846,366.306119023308,"NS"
"ENSMUSG00000030527.15","chr7",80586627,80688877,"protein_coding","Crtc3",1051,971,791,872,919,1159,1088,419,875.299583131755,0.314079064471694,0.266281775937045,1.17949891000408,0.238199570473714,0.627258868914114,1.2432177994945,780.586428801895,970.012737461616,"NS"
"ENSMUSG00000019982.15","chr10",21124935,21160984,"protein_coding","Myb",115,287,60,350,1,161,0,76,116.30703792938,-1.50905926784645,1.27953680629069,-1.17937933510575,0.238247160026837,NA,0.351340241227063,172.165290214855,60.4487856439048,"NS"
"ENSMUSG00000025139.14","chr7",141874813,141918507,"protein_coding","Tollip",1078,1359,1161,1049,651,1299,348,614,878.187260045937,-0.337853087304318,0.286686456185868,-1.17847592732207,0.238606923760267,0.628093651640053,0.791217868476773,980.751189357931,775.623330733943,"NS"
"ENSMUSG00000030559.8","chr7",88430273,88491572,"protein_coding","Rab38",56,191,141,79,201,69,191,139,136.123328701122,0.86792281055424,0.736630075647071,1.17823428508786,0.238703217810324,NA,1.82503332853623,96.3117750244826,175.934882377762,"NS"
"ENSMUSG00000046707.9","chr8",95446096,95490039,"protein_coding","Csnk2a2",837,925,989,542,1186,872,547,572,788.702464555163,0.35097363146722,0.298013121156846,1.17771200846724,0.238911437902674,0.628657197690913,1.27542108024477,693.186394451843,884.218534658482,"NS"
"ENSMUSG00000038736.10","chr15",44373163,44428307,"protein_coding","Nudcd1",383,306,190,464,55,245,115,232,234.696732830603,-0.676887009595251,0.574890054226091,-1.17741993381059,0.239027937437908,NA,0.625513527720045,288.731849353002,180.661616308204,"NS"
"ENSMUSG00000032091.15","chr9",45172726,45204092,"protein_coding","Tmprss4",453,288,112,123,459,163,306,185,260.591825407932,0.667997360848916,0.567536312409938,1.17701254746571,0.239190498158461,NA,1.58886589364518,201.235762116326,319.947888699538,"NS"
"ENSMUSG00000031004.8","chr7",135689784,135716361,"protein_coding","Mki67",488,821,380,87,676,546,62,1214,551.263715113023,1.07526480835546,0.913695528928268,1.17683054618501,0.239263147927293,0.629344458717572,2.10710879869123,354.764300886864,747.763129339182,"NS"
"ENSMUSG00000034675.17","chr13",55473429,55488111,"protein_coding","Dbn1",405,290,236,306,139,255,0,94,194.97883631847,-1.05328538060555,0.895349662225851,-1.17639557487191,0.239436839227234,NA,0.481869575454174,263.200886254827,126.756786382113,"NS"
"ENSMUSG00000055809.7","chr7",4522933,4532453,"protein_coding","Dnaaf3",131,22,93,159,279,35,86,214,138.818468200445,1.0467555973435,0.890430459981816,1.17556130926258,0.239770224180604,NA,2.06587877137216,90.5553687314358,187.081567669455,"NS"
"ENSMUSG00000020581.11","chr12",35992907,36004087,"protein_coding","Agr2",12,441,20,154,0,127,0,0,74.2994510019292,-2.17686943464467,1.85204636007028,-1.17538603869617,0.239840306485979,NA,0.221155122688745,121.755549310737,26.843352693121,"NS"
"ENSMUSG00000034327.17","chr14",67715937,67742310,"protein_coding","Kctd9",930,822,745,790,442,694,373,521,630.365589762198,-0.314343555196223,0.26745557133671,-1.17531129983635,0.239870195367893,0.63070257117912,0.804216836511381,698.725286725173,562.005892799223,"NS"
"ENSMUSG00000075284.10","chr2",73429610,73529734,"protein_coding","Wipf1",780,1011,659,711,728,706,687,729,735.957154937809,0.28926750687831,0.246244945635537,1.17471449467414,0.240108958432165,0.631091674487868,1.22201966955694,662.129007866938,809.78530200868,"NS"
"ENSMUSG00000046352.7","chr14",57098600,57104702,"protein_coding","Gjb2",1571,1233,1071,671,2637,559,615,1506,1266.94053306525,0.732539411280978,0.623766198811207,1.17438138308404,0.240242298765623,0.631137513547061,1.66156117550581,951.943906961315,1581.93715916918,"NS"
"ENSMUSG00000020098.7","chr10",61089331,61094324,"protein_coding","Pcbd1",46,0,66,50,0,20,0,0,20.4019437455938,-3.09840804125683,2.63835728141498,-1.1743701518678,0.240246795387816,NA,0.116757890746708,36.5765878544755,4.22729963671197,"NS"
"ENSMUSG00000042404.16","chr3",90265185,90280669,"protein_coding","Dennd4b",3631,2648,2597,1904,1047,2062,2779,687,2026.56817033784,-0.357288447134493,0.304277942954634,-1.1742173739743,0.240307968693768,0.631137513547061,0.780630400635651,2276.4066311763,1776.72970949937,"NS"
"ENSMUSG00000019861.15","chr10",52335850,52382124,"protein_coding","Gopc",565,639,793,641,473,466,189,387,494.220155669934,-0.413863527214963,0.35259348626349,-1.17376963369563,0.240487310157306,0.631301938990569,0.750610549948973,564.574583637115,423.865727702752,"NS"
"ENSMUSG00000067219.9","chr5",72647795,72671078,"protein_coding","Nipal1",140,323,74,90,87,71,0,15,85.196352916984,-1.45430979108624,1.23901846379233,-1.17375957952632,0.240491338416726,NA,0.36492963261118,124.85304723897,45.5396585949975,"NS"
"ENSMUSG00000029422.15","chr5",123728426,123749414,"protein_coding","Rsrc2",1000,1393,1620,978,795,900,831,611,964.12897146777,-0.279140766282532,0.237864193172287,-1.17352999860869,0.240583334237748,0.631301938990569,0.824081673937785,1057.07245825326,871.18548468228,"NS"
"ENSMUSG00000025068.8","chr19",47854970,47864790,"protein_coding","Gsto1",1653,2359,1253,1040,969,725,405,1260,1141.50458513139,-0.397871899311863,0.339129177441126,-1.17321636054431,0.240709052828131,0.631301938990569,0.75897701506107,1297.47809106886,985.531079193918,"NS"
"ENSMUSG00000036492.12","chr17",36942918,36947986,"protein_coding","Rnf39",563,762,598,254,716,162,759,556,550.943887958998,0.537178486797023,0.457892319300811,1.17315461333197,0.240733809013809,0.631301938990569,1.45113172729288,449.349726570343,652.538049347654,"NS"
"ENSMUSG00000050211.14","chr2",120166412,120245335,"protein_coding","Pla2g4e",1718,1861,1651,1261,899,1013,1066,1062,1257.01250763329,-0.251746801252381,0.214670927742385,-1.17271026822267,0.240912012295182,0.631521061499352,0.839878882111742,1365.98195676391,1148.04305850267,"NS"
"ENSMUSG00000031262.12","chrX",134308084,134362639,"protein_coding","Cenpi",0,27,0,0,0,39,0,118,26.7896722290252,3.34895043227669,2.85624587808847,1.17250074931153,0.240996071453084,NA,10.1890697233154,4.76996918472338,48.809375273327,"NS"
"ENSMUSG00000021733.11","chr14",14702279,14799940,"protein_coding","Slc4a7",898,808,827,529,331,642,385,484,577.522520667639,-0.342464590053,0.292082334604193,-1.17249333314554,0.240999047203363,0.631521061499352,0.788692817768755,645.674748029763,509.370293305514,"NS"
"ENSMUSG00000038973.2","chr7",43440782,43443334,"protein_coding","Cldnd2",23,0,0,0,91,0,0,66,27.0444780947189,3.34076171491402,2.84932471812915,1.17247490033623,0.241006443514174,NA,10.1314005222484,4.85667354296823,49.2322826464696,"NS"
"ENSMUSG00000030068.4","chr6",99257484,99666797,"protein_coding","Gm20696",375,440,541,243,350,270,60,122,277.804499117118,-0.626835216138628,0.534704071450312,-1.17230305435757,0.241075405766933,NA,0.647595463212958,337.253763601095,218.35523463314,"NS"
"ENSMUSG00000042369.8","chr2",76369984,76383768,"protein_coding","Rbm45",413,450,340,563,234,222,351,163,325.11680426258,-0.474226969947552,0.404566796620917,-1.17218460315691,0.241122948641078,NA,0.719852400592278,378.062578902548,272.171029622612,"NS"
"ENSMUSG00000067851.11","chr1",10137571,10232670,"protein_coding","Arfgef1",3459,2930,3006,2294,2270,2055,1996,1257,2289.11909328178,-0.235501822628097,0.200912687315942,-1.17216003515877,0.241132810349111,0.631633495684634,0.849389498704713,2475.52621828637,2102.71196827718,"NS"
"ENSMUSG00000024350.6","chr18",35671103,35708414,"protein_coding","Dnajc18",682,983,544,883,691,659,100,244,552.536182156991,-0.522395910462511,0.445786665226051,-1.17185180987325,0.241256557536087,0.631650489958616,0.696214655952126,651.587215600209,453.485148713772,"NS"
"ENSMUSG00000038170.15","chr3",97689824,97888707,"protein_coding","Pde4dip",66832,48665,56400,45354,19105,50091,49702,14742,40908.4884583265,-0.381985461033958,0.32602047257976,-1.171660963532,0.241333201491397,0.631650489958616,0.767380781351282,46293.0557999725,35523.9211166806,"NS"
"ENSMUSG00000024991.8","chr19",60761117,60790658,"protein_coding","Eif3a",4263,4098,3687,3454,3049,2526,1912,2380,3037.04414821396,-0.234235795014969,0.199951149383374,-1.17146510903951,0.241411874542584,0.631650489958616,0.850135202058956,3282.70106218808,2791.38723423985,"NS"
"ENSMUSG00000025151.16","chrX",94535474,94542143,"protein_coding","Maged1",1209,2892,1396,2018,1829,2538,1319,1305,1730.90186957938,0.279384782865341,0.238623085308312,1.17082042797478,0.241670964851211,0.632090499490452,1.21367721834179,1563.85832332948,1897.94541582928,"NS"
"ENSMUSG00000020692.14","chr11",82900768,82908411,"protein_coding","Nle1",124,130,92,39,78,169,184,104,113.205761352765,0.891956654958649,0.761962836599285,1.17060388265068,0.241758035953061,NA,1.85569119880341,79.2623575183509,147.149165187179,"NS"
"ENSMUSG00000039680.10","chr16",92058270,92112227,"protein_coding","Mrps6",461,446,416,358,98,292,257,254,303.619480038973,-0.50041216243765,0.42759819957233,-1.17028594352863,0.241885916669418,NA,0.706904797247271,355.694042982768,251.544917095178,"NS"
"ENSMUSG00000010517.7","chr4",109676588,109963960,"protein_coding","Faf1",1153,833,936,1301,713,911,670,397,821.362410984865,-0.322356001311277,0.275513349925398,-1.17001953407544,0.241993107890821,0.63230591133765,0.799762753480627,913.00987037543,729.7149515943,"NS"
"ENSMUSG00000026589.14","chr1",157506728,157568425,"protein_coding","Sec16b",382,510,679,317,478,255,254,945,495.610746686003,0.562689118674414,0.48093133579428,1.16999886843536,0.242001424214598,0.63230591133765,1.47701975144999,399.969565127402,591.251928244605,"NS"
"ENSMUSG00000068015.8","chr14",74754675,74947876,"protein_coding","Lrch1",1331,1452,991,1454,1346,1801,1098,709,1220.88253717735,0.266039629442309,0.227396476044715,1.16993734498328,0.242026183841986,0.63230591133765,1.20250228002317,1108.93651505974,1332.82855929495,"NS"
"ENSMUSG00000075704.16","chr16",18426384,18479073,"protein_coding","Txnrd2",131,201,166,305,29,111,142,0,123.161458683579,-1.2525130261475,1.07097751306439,-1.16950450487394,0.242200427303692,NA,0.419716467652891,173.558935979834,72.7639813873246,"NS"
"ENSMUSG00000027364.14","chr2",126709096,126783470,"protein_coding","Usp50",55,133,112,86,57,0,0,0,48.7985926125158,-2.28475861392097,1.95366398341083,-1.16947368294731,0.242212838296757,NA,0.205219735892026,80.9715090556469,16.6256761693848,"NS"
"ENSMUSG00000000402.2","chrX",166523007,166585720,"protein_coding","Egfl6",89,128,140,44,50,264,79,194,121.681547117197,0.935031536618209,0.799787691159827,1.16909968352008,0.242363471421295,NA,1.91193242865202,83.5623723665367,159.800721867857,"NS"
"ENSMUSG00000004360.9","chr10",29211606,29230779,"protein_coding","9330159F19Rik",394,718,370,938,433,421,279,242,448.246722940573,-0.450820838780113,0.385687607573111,-1.16887561313376,0.242453750235236,0.632955928617019,0.731626461812096,517.767597797115,378.725848084031,"NS"
"ENSMUSG00000053477.17","chr18",69343356,69689079,"protein_coding","Tcf4",4436,5729,4276,4353,4089,5088,3967,3007,4199.08304147647,0.167740797137536,0.143507129418622,1.16886734350475,0.242457082552808,0.632955928617019,1.12329806672977,3955.28105725792,4442.88502569503,"NS"
"ENSMUSG00000027602.9","chr2",155276297,155278073,"protein_coding","Map1lc3a",3023,3141,3462,2204,1139,2338,2313,1731,2294.53810838806,-0.262095008159425,0.224277360335227,-1.16861999698798,0.242556767832524,0.632978472211603,0.833876127406363,2502.30480058144,2086.77141619467,"NS"
"ENSMUSG00000028541.14","chr4",117869260,117883487,"protein_coding","B4galt2",300,433,179,339,208,304,260,526,320.914872854832,0.540879625622201,0.463003813730413,1.16819691238468,0.242727345659952,NA,1.45485928924228,261.29252084527,380.537224864394,"NS"
"ENSMUSG00000019726.12","chr13",13590397,13778803,"protein_coding","Lyst",2058,3293,2462,2603,1936,3002,2129,2082,2361.00570104896,0.20351116796075,0.174236677879325,1.16801565799883,0.242800448995257,0.633226490799836,1.15149741143765,2194.68311871612,2527.32828338181,"NS"
"ENSMUSG00000019768.16","chr10",4611593,5005614,"protein_coding","Esr1",665,663,1099,730,591,849,302,54,568.809073192897,-0.571903267926409,0.489671492922626,-1.16793253475504,0.242833979354483,0.633226490799836,0.672728708915449,680.358135713408,457.260010672385,"NS"
"ENSMUSG00000025218.6","chr19",45552275,45560531,"protein_coding","Poll",232,376,196,133,322,231,106,358,243.899960981161,0.628047982896909,0.537844232592884,1.16771352156955,0.242922340758774,NA,1.54547249963517,191.491551234419,296.308370727903,"NS"
"ENSMUSG00000029384.5","chr5",93206518,93213475,"protein_coding","2010109A12Rik",16,0,0,0,0,72,0,65,20.4712949129245,3.4743443615903,2.97590751393913,1.16749070504258,0.243012259823456,NA,11.1142936765809,3.37855550815181,37.5640343176971,"NS"
"ENSMUSG00000018199.9","chr1",143750790,143777068,"protein_coding","Ro60",642,859,627,578,275,420,583,299,503.296681028804,-0.368354054564176,0.315560239576641,-1.16730185988692,0.243088487835309,0.633652481226496,0.774665795406887,567.128349067685,439.465012989923,"NS"
"ENSMUSG00000022868.6","chr16",22891277,22899449,"protein_coding","Ahsg",18,20,24,0,197,0,49,0,42.1567712834907,2.48686317729253,2.13065501192959,1.1671824689443,0.243136689080425,NA,5.60557814775721,12.7588880603279,71.5546545066535,"NS"
"ENSMUSG00000018651.14","chr11",84078920,84129600,"protein_coding","Tada2a",569,354,290,326,248,270,238,69,273.851786207183,-0.556509198484512,0.476818770689003,-1.16712938477727,0.243158122703905,NA,0.679945397462554,326.12137814127,221.582194273096,"NS"
"ENSMUSG00000028261.13","chr4",24898083,24905001,"protein_coding","Ndufaf4",375,459,502,496,302,145,271,241,335.886457310734,-0.490049378385429,0.42002214528072,-1.16672271662701,0.243322365852492,NA,0.712000728096661,392.23852836744,279.534386254029,"NS"
"ENSMUSG00000031697.12","chr8",85299632,85308278,"protein_coding","Orc6",84,216,163,96,41,47,0,61,79.2692701637096,-1.43372790338151,1.22892798747262,-1.1666492406362,0.243352049290823,NA,0.370173133681687,115.674934277936,42.8636060494829,"NS"
"ENSMUSG00000025465.13","chr7",140105710,140116476,"protein_coding","Echs1",985,1335,1202,1006,714,712,423,821,859.265246743791,-0.326796590058899,0.280130662431288,-1.16658628949288,0.243377482838194,0.634008895857078,0.797304883045123,955.867597747504,762.662895740078,"NS"
"ENSMUSG00000008348.9","chr5",125385965,125390202,"protein_coding","Ubc",753,504,396,574,669,628,542,369,542.652216598389,0.363577878326865,0.31167957779145,1.16651171341788,0.243407615512448,0.634008895857078,1.28661273905181,474.682429127455,610.622004069323,"NS"
"ENSMUSG00000034161.8","chr15",76457452,76459458,"protein_coding","Scx",214,200,390,85,176,358,104,439,248.408684885039,0.703343400913173,0.603157782152006,1.16610184221401,0.243573271930611,NA,1.62827389777924,188.979726969785,307.837642800293,"NS"
"ENSMUSG00000026688.5","chr1",167371966,167393841,"protein_coding","Mgst3",595,595,590,283,114,453,96,0,294.168066279711,-1.46189792752101,1.25368183937132,-1.16608367578659,0.243580616033988,NA,0.363015252850696,431.723739637811,156.612392921611,"NS"
"ENSMUSG00000029547.10","chr5",139751282,139775674,"protein_coding","Ints1",2820,3343,1813,2013,1614,2540,1409,1028,1921.54466734496,-0.233198177430847,0.200051091129457,-1.16569310426775,0.243738549189952,0.634633106355261,0.850746857678336,2076.77245992101,1766.31687476891,"NS"
"ENSMUSG00000020649.11","chr12",24708241,24714146,"protein_coding","Rrm2",31,26,22,0,38,0,0,215,50.5542835586992,2.39774626643587,2.0572854954943,1.16549028887202,0.243820588853413,NA,5.26979290215948,16.1118990123242,84.9966681050742,"NS"
"ENSMUSG00000054302.15","chr12",54670340,54695897,"protein_coding","Eapp",337,514,222,310,125,197,305,53,235.126640933048,-0.636464048079079,0.546219793137275,-1.16521601025015,0.243931566536157,NA,0.64328767456174,286.206317860148,184.046964005948,"NS"
"ENSMUSG00000025509.15","chr7",141455198,141460743,"protein_coding","Pnpla2",4478,6311,4163,4287,1918,6044,3153,1660,3670.08515827456,-0.279985350789418,0.240299356143275,-1.1651523136936,0.243957344295668,0.634964978488762,0.823599380101823,4025.65998576798,3314.51033078114,"NS"
"ENSMUSG00000007279.14","chr7",109798676,109865679,"protein_coding","Scube2",99,220,199,267,210,342,158,227,212.781239524196,0.609353777110654,0.523007654102159,1.16509533336892,0.243980405642355,NA,1.52557570846694,168.539001492649,257.023477555743,"NS"
"ENSMUSG00000040640.11","chr14",27622428,28478537,"protein_coding","Erc2",101,75,26,0,0,67,119,260,89.1132654610538,1.76660675082593,1.51641902078077,1.16498588227701,0.244024707501301,NA,3.40252733222105,40.4538072042102,137.772723717897,"NS"
"ENSMUSG00000030583.16","chr7",29320372,29518641,"protein_coding","Sipa1l3",2330,2963,1557,1543,2659,1592,1688,1507,1925.84464399696,0.284785001687788,0.244501246045586,1.16475889711699,0.244116600923115,0.634985711099229,1.21822870303712,1736.02190253075,2115.66738546318,"NS"
"ENSMUSG00000017734.15","chr2",164486106,164493319,"protein_coding","Dbndd2",248,156,161,345,136,522,222,257,250.473816498011,0.605985575299792,0.520293432914912,1.16469964247827,0.24414059376615,NA,1.52201816295557,198.740774996275,302.206857999746,"NS"
"ENSMUSG00000040225.15","chr1",162670725,162740556,"protein_coding","Prrc2c",6117,8372,5966,6539,6873,7599,5241,4077,6100.67526127797,0.198663239018364,0.170573035416406,1.16468138433126,0.244147987020748,0.634985711099229,1.14763449609076,5681.40589609093,6519.94462646501,"NS"
"ENSMUSG00000026037.14","chr1",58462771,58505109,"protein_coding","Orc2",316,438,203,209,139,188,123,0,177.790006569461,-1.05150899571456,0.9030048938732,-1.16445547842426,0.244239475897953,NA,0.482463265049958,239.921304224626,115.658708914296,"NS"
"ENSMUSG00000070305.10","chr9",45055186,45077436,"protein_coding","Mpzl3",568,998,535,243,805,297,372,796,576.728090533389,0.511671563524183,0.439462999558346,1.16431090680764,0.244298038103944,0.635108919723405,1.42570111269044,475.230776917513,678.225404149265,"NS"
"ENSMUSG00000030421.9","chr7",37959992,38023551,"protein_coding","Uri1",997,918,675,475,426,829,356,272,567.068755526464,-0.36555292361028,0.314018320006841,-1.16411336638676,0.244378072534538,0.635108919723405,0.776171344545601,638.755384896335,495.382126156592,"NS"
"ENSMUSG00000028337.14","chr4",46536937,46602202,"protein_coding","Coro2a",216,330,194,35,319,334,157,143,207.040905664167,0.723845620548237,0.621998901366801,1.16374099529378,0.244528990486867,NA,1.65157858881931,156.121518151618,257.960293176717,"NS"
"ENSMUSG00000053841.15","chr4",129626078,129641065,"protein_coding","Txlna",1216,1783,1304,1093,1629,1155,910,1135,1249.41952119106,0.281441611190007,0.241847141195809,1.16371692383224,0.244538748639198,0.635113790875681,1.21540877348102,1127.63147130059,1371.20757108154,"NS"
